Room,Building,In-Charge,Mobile,Email
JC301,JC Bose Block,Dr. Faculty 1,9999999999,incharge.jc301@srmap.edu.in
JC302,JC Bose Block,Dr. Faculty 5,9999999999,incharge.jc302@srmap.edu.in
JC303,JC Bose Block,Dr. Faculty 8,9999999999,incharge.jc303@srmap.edu.in
JC304,JC Bose Block,Dr. Faculty 12,9999999999,incharge.jc304@srmap.edu.in
JC305,JC Bose Block,Dr. Faculty 3,9999999999,incharge.jc305@srmap.edu.in
JC306,JC Bose Block,Dr. Faculty 7,9999999999,incharge.jc306@srmap.edu.in
JC307,JC Bose Block,Dr. Faculty 11,9999999999,incharge.jc307@srmap.edu.in
JC308,JC Bose Block,Dr. Faculty 3,9999999999,incharge.jc308@srmap.edu.in
JC309,JC Bose Block,Dr. Faculty 6,9999999999,incharge.jc309@srmap.edu.in
JC310,JC Bose Block,Dr. Faculty 9,9999999999,incharge.jc310@srmap.edu.in
JC311,JC Bose Block,Dr. Faculty 1,9999999999,incharge.jc311@srmap.edu.in
JC312,JC Bose Block,Dr. Faculty 4,9999999999,incharge.jc312@srmap.edu.in
JC313,JC Bose Block,Dr. Faculty 8,9999999999,incharge.jc313@srmap.edu.in
JC314,JC Bose Block,Dr. Faculty 11,9999999999,incharge.jc314@srmap.edu.in
JC315,JC Bose Block,Dr. Faculty 2,9999999999,incharge.jc315@srmap.edu.in
JC318,JC Bose Block,Dr. Faculty 6,9999999999,incharge.jc318@srmap.edu.in
JC319,JC Bose Block,Dr. Faculty 10,9999999999,incharge.jc319@srmap.edu.in
JC320,JC Bose Block,Dr. Faculty 2,9999999999,incharge.jc320@srmap.edu.in
JC401,JC Bose Block,Dr. Faculty 6,9999999999,incharge.jc401@srmap.edu.in
JC402,JC Bose Block,Dr. Faculty 10,9999999999,incharge.jc402@srmap.edu.in
JC403,JC Bose Block,Dr. Faculty 1,9999999999,incharge.jc403@srmap.edu.in
JC404,JC Bose Block,Dr. Faculty 4,9999999999,incharge.jc404@srmap.edu.in
JC405,JC Bose Block,Dr. Faculty 7,9999999999,incharge.jc405@srmap.edu.in
JC406,JC Bose Block,Dr. Faculty 11,9999999999,incharge.jc406@srmap.edu.in
JC407,JC Bose Block,Dr. Faculty 2,9999999999,incharge.jc407@srmap.edu.in
JC408,JC Bose Block,Dr. Faculty 6,9999999999,incharge.jc408@srmap.edu.in
JC409,JC Bose Block,Dr. Faculty 9,9999999999,incharge.jc409@srmap.edu.in
JC410,JC Bose Block,Dr. Faculty 12,9999999999,incharge.jc410@srmap.edu.in
JC411,JC Bose Block,Dr. Faculty 4,9999999999,incharge.jc411@srmap.edu.in
