Room,Building,Equipment,PO_Link,Photo_Link,SOP_Link,Last_Calibrated,Next_Calibration_Due,Responsible_Department,Faculty_Name,Faculty_Email,AMC_Renewal_Due,Service_Due,Purchase_Date,Cost,Vendor,Warranty_Until,Funding_Source,Material_Code,Material_Description,Short_Description,Material_Type,Material_Group,Material_Category,Brand_Make,Model_Number,Vendor_Code,Purchase_UOM,Standard_Lead_Time,Contract_Reference,Valuation_Class,Account_Assignment_Category,Cost_Center,Asset_Category,Price_Control_Method,Tax_Code,HSN_SAC_Code,Inventory_Managed,Storage_Installation_Location,Maximum_Stock_Level,Serial_Number_Tracking,Shelf_Life,Delivery_Location,Approved_Vendor_List,Manufacturer_Part_Number,Material_Image,Technical_Specification,Remarks
JC301,JC Bose Block,Oscilloscope,https://drive.google.com/file/d/1PO_EXAMPLE_JC301_OSC/view?usp=sharing,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://drive.google.com/file/d/1SOP_EXAMPLE_FILE/view?usp=sharing,2025-12-15,2026-12-15,Civil Engineering,Dr. Faculty 1,incharge.jc301@srmap.edu.in,2026-09-30,2026-07-31,2024-01-15,53500,ABC Technologies,2027-03-31,Institute Fund,SRMAP-MM-000001,Oscilloscope,Oscilloscope,Asset,Civil Engineering,Capital Asset,Keysight,OSCI-101,VEN-00101,Nos.,15 Days,RC-2026-CIV-01,Capital Equipment,Asset,Civil Engineering,Laboratory Equipment,Standard Price,GST 18%,90230090,Yes,JC301,1 Nos.,Yes,Not Applicable,JC301,"ABC Technologies, XYZ Systems",KEYS-OSCI-001,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,Specification sheet attached / to be updated,Demo master data; replace during final inventory validation
JC301,JC Bose Block,Digital Multimeter,https://drive.google.com/file/d/1PO_EXAMPLE_002/view?usp=sharing,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://drive.google.com/file/d/1SOP_EXAMPLE_FILE/view?usp=sharing,2025-12-15,2026-12-15,Civil Engineering,Dr. Faculty 2,incharge.jc301@srmap.edu.in,2026-09-30,2026-07-31,2024-02-15,57000,ABC Technologies,2027-03-31,Institute Fund,SRMAP-MM-000002,Digital Multimeter,Digital Multimeter,Asset,Civil Engineering,Capital Asset,SRMAP Standard,DIGI-102,VEN-00102,Nos.,15 Days,RC-2026-CIV-01,Capital Equipment,Asset,Civil Engineering,Laboratory Equipment,Standard Price,GST 18%,90230090,Yes,JC301,1 Nos.,Yes,Not Applicable,JC301,"ABC Technologies, XYZ Systems",SRMA-DIGI-002,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,Specification sheet attached / to be updated,Demo master data; replace during final inventory validation
JC301,JC Bose Block,Function Generator,https://drive.google.com/file/d/1PO_EXAMPLE_003/view?usp=sharing,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://drive.google.com/file/d/1SOP_EXAMPLE_FILE/view?usp=sharing,2025-12-15,2026-12-15,Civil Engineering,Dr. Faculty 3,incharge.jc301@srmap.edu.in,2026-09-30,2026-07-31,2024-03-15,60500,ABC Technologies,2027-03-31,Institute Fund,SRMAP-MM-000003,Function Generator,Function Generator,Asset,Civil Engineering,Capital Asset,Keysight,FUNC-103,VEN-00103,Nos.,15 Days,RC-2026-CIV-01,Capital Equipment,Asset,Civil Engineering,Laboratory Equipment,Standard Price,GST 18%,90230090,Yes,JC301,1 Nos.,Yes,Not Applicable,JC301,"ABC Technologies, XYZ Systems",KEYS-FUNC-003,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,Specification sheet attached / to be updated,Demo master data; replace during final inventory validation
JC301,JC Bose Block,Soldering Station,https://drive.google.com/file/d/1PO_EXAMPLE_004/view?usp=sharing,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://drive.google.com/file/d/1SOP_EXAMPLE_FILE/view?usp=sharing,2025-12-15,2026-12-15,Civil Engineering,Dr. Faculty 4,incharge.jc301@srmap.edu.in,2026-09-30,2026-07-31,2024-04-15,64000,ABC Technologies,2027-03-31,Institute Fund,SRMAP-MM-000004,Soldering Station,Soldering Station,Asset,Civil Engineering,Capital Asset,SRMAP Standard,SOLD-104,VEN-00104,Nos.,15 Days,RC-2026-CIV-01,Capital Equipment,Asset,Civil Engineering,Laboratory Equipment,Standard Price,GST 18%,90230090,Yes,JC301,1 Nos.,Yes,Not Applicable,JC301,"ABC Technologies, XYZ Systems",SRMA-SOLD-004,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,Specification sheet attached / to be updated,Demo master data; replace during final inventory validation
JC302,JC Bose Block,Desktop Computer,https://drive.google.com/file/d/1PO_EXAMPLE_005/view?usp=sharing,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://drive.google.com/file/d/1SOP_EXAMPLE_FILE/view?usp=sharing,2025-12-15,2026-12-15,Civil Engineering,Dr. Faculty 5,incharge.jc302@srmap.edu.in,2026-09-30,2026-07-31,2024-05-15,67500,ABC Technologies,2027-03-31,Institute Fund,SRMAP-MM-000005,Desktop Computer,Desktop Computer,Asset,Civil Engineering,Capital Asset,Dell,DESK-105,VEN-00105,Nos.,15 Days,RC-2026-CIV-01,Capital Equipment,Asset,Civil Engineering,Laboratory Equipment,Standard Price,GST 18%,90230090,Yes,JC302,1 Nos.,Yes,Not Applicable,JC302,"ABC Technologies, XYZ Systems",DELL-DESK-005,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,Specification sheet attached / to be updated,Demo master data; replace during final inventory validation
JC302,JC Bose Block,Projector,https://drive.google.com/file/d/1PO_EXAMPLE_006/view?usp=sharing,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://drive.google.com/file/d/1SOP_EXAMPLE_FILE/view?usp=sharing,2025-12-15,2026-12-15,Civil Engineering,Dr. Faculty 6,incharge.jc302@srmap.edu.in,2026-09-30,2026-07-31,2024-06-15,71000,ABC Technologies,2027-03-31,Institute Fund,SRMAP-MM-000006,Projector,Projector,Asset,Civil Engineering,Capital Asset,Dell,PROJ-106,VEN-00106,Nos.,15 Days,RC-2026-CIV-01,Capital Equipment,Asset,Civil Engineering,Laboratory Equipment,Standard Price,GST 18%,90230090,Yes,JC302,1 Nos.,Yes,Not Applicable,JC302,"ABC Technologies, XYZ Systems",DELL-PROJ-006,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,Specification sheet attached / to be updated,Demo master data; replace during final inventory validation
JC302,JC Bose Block,Network Switch,https://drive.google.com/file/d/1PO_EXAMPLE_007/view?usp=sharing,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://drive.google.com/file/d/1SOP_EXAMPLE_FILE/view?usp=sharing,2025-12-15,2026-12-15,Civil Engineering,Dr. Faculty 7,incharge.jc302@srmap.edu.in,2026-09-30,2026-07-31,2024-07-15,74500,ABC Technologies,2027-03-31,Institute Fund,SRMAP-MM-000007,Network Switch,Network Switch,Asset,Civil Engineering,Capital Asset,Dell,NETW-107,VEN-00107,Nos.,15 Days,RC-2026-CIV-01,Capital Equipment,Asset,Civil Engineering,Laboratory Equipment,Standard Price,GST 18%,90230090,Yes,JC302,1 Nos.,Yes,Not Applicable,JC302,"ABC Technologies, XYZ Systems",DELL-NETW-007,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,Specification sheet attached / to be updated,Demo master data; replace during final inventory validation
JC303,JC Bose Block,3D Printer,https://drive.google.com/file/d/1PO_EXAMPLE_JC303_3DP/view?usp=sharing,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://drive.google.com/file/d/1SOP_EXAMPLE_FILE/view?usp=sharing,2025-12-15,2026-12-15,Civil Engineering,Dr. Faculty 8,incharge.jc303@srmap.edu.in,2026-09-30,2026-07-31,2024-08-15,78000,ABC Technologies,2027-03-31,Institute Fund,SRMAP-MM-000008,3D Printer,3D Printer,Asset,Civil Engineering,Capital Asset,Bosch,3DPR-108,VEN-00108,Nos.,15 Days,RC-2026-CIV-01,Capital Equipment,Asset,Civil Engineering,Laboratory Equipment,Standard Price,GST 18%,90230090,Yes,JC303,1 Nos.,Yes,Not Applicable,JC303,"ABC Technologies, XYZ Systems",BOSC-3DPR-008,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,Specification sheet attached / to be updated,Demo master data; replace during final inventory validation
JC303,JC Bose Block,Soldering Station,https://drive.google.com/file/d/1PO_EXAMPLE_009/view?usp=sharing,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://drive.google.com/file/d/1SOP_EXAMPLE_FILE/view?usp=sharing,2025-12-15,2026-12-15,Civil Engineering,Dr. Faculty 9,incharge.jc303@srmap.edu.in,2026-09-30,2026-07-31,2024-09-15,81500,ABC Technologies,2027-03-31,Institute Fund,SRMAP-MM-000009,Soldering Station,Soldering Station,Asset,Civil Engineering,Capital Asset,SRMAP Standard,SOLD-109,VEN-00109,Nos.,15 Days,RC-2026-CIV-01,Capital Equipment,Asset,Civil Engineering,Laboratory Equipment,Standard Price,GST 18%,90230090,Yes,JC303,1 Nos.,Yes,Not Applicable,JC303,"ABC Technologies, XYZ Systems",SRMA-SOLD-009,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,Specification sheet attached / to be updated,Demo master data; replace during final inventory validation
JC303,JC Bose Block,Digital Multimeter,https://drive.google.com/file/d/1PO_EXAMPLE_010/view?usp=sharing,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://drive.google.com/file/d/1SOP_EXAMPLE_FILE/view?usp=sharing,2025-12-15,2026-12-15,Civil Engineering,Dr. Faculty 10,incharge.jc303@srmap.edu.in,2026-09-30,2026-07-31,2024-10-15,85000,ABC Technologies,2027-03-31,Institute Fund,SRMAP-MM-000010,Digital Multimeter,Digital Multimeter,Asset,Civil Engineering,Capital Asset,SRMAP Standard,DIGI-110,VEN-00110,Nos.,15 Days,RC-2026-CIV-01,Capital Equipment,Asset,Civil Engineering,Laboratory Equipment,Standard Price,GST 18%,90230090,Yes,JC303,1 Nos.,Yes,Not Applicable,JC303,"ABC Technologies, XYZ Systems",SRMA-DIGI-010,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,Specification sheet attached / to be updated,Demo master data; replace during final inventory validation
